Order_ID,Order_Date,Customer_ID,Customer_Name,City,Product,Category,Brand,Quantity,Unit_Price,Discount_%,Total_Sales,Profit,Payment_Method,Shipping_Method,Order_Status
ORD00001,2026-06-29,CUST0272,Emma Smith,Butwal,Printer,Office,HP,2,202.56,5,384.86,68.84,Bank Transfer,Standard,Processing
ORD00002,2026-02-25,CUST0292,Mason Sharma,Butwal,Monitor,Electronics,LG,1,240.16,5,228.15,25.29,Khalti,Standard,Delivered
ORD00003,2026-04-04,CUST0005,Sita Sharma,Butwal,Mouse,Accessories,Logitech,1,15.24,10,13.72,3.08,Khalti,Standard,Processing
ORD00004,2026-03-21,CUST0166,Mason Sharma,Chitwan,Mouse,Accessories,Logitech,1,28.57,10,25.71,5.65,eSewa,Standard,Delivered
ORD00005,2026-03-22,CUST0266,Noah KC,Lalitpur,Laptop,Electronics,Dell,2,841.67,5,1599.17,209.49,Cash,Express,Processing
ORD00006,2026-03-26,CUST0043,Olivia Thapa,Pokhara,Printer,Office,HP,3,211.94,20,508.66,90.48,Bank Transfer,Standard,Shipped
ORD00007,2026-04-03,CUST0042,Emma Thapa,Pokhara,Tablet,Electronics,Apple,5,511.86,5,2431.34,453.37,Khalti,Standard,Shipped
ORD00008,2026-03-11,CUST0176,Liam Adhikari,Kathmandu,Tablet,Electronics,Apple,5,517.35,15,2198.74,410.69,Bank Transfer,Express,Cancelled
ORD00009,2026-03-07,CUST0169,Emma KC,Pokhara,Mouse,Accessories,Logitech,3,60.51,10,163.38,33.16,Bank Transfer,Express,Processing
ORD00010,2026-04-02,CUST0203,Sophia Adhikari,Lalitpur,Keyboard,Accessories,Logitech,1,39.99,5,37.99,3.84,eSewa,Express,Processing
ORD00011,2026-06-11,CUST0099,Mia Adhikari,Butwal,Mouse,Accessories,Logitech,5,22.34,0,111.7,16.64,Bank Transfer,Standard,Processing
ORD00012,2026-03-26,CUST0167,Sita Adhikari,Pokhara,Monitor,Electronics,LG,1,201.96,5,191.86,34.83,Cash,Standard,Shipped
ORD00013,2026-02-11,CUST0094,Aarav Sharma,Butwal,Monitor,Electronics,LG,5,226.71,15,963.52,87.26,Cash,Standard,Delivered
ORD00014,2026-04-14,CUST0213,Mason Thapa,Biratnagar,Tablet,Electronics,Apple,5,481.84,15,2047.82,509.47,Khalti,Express,Delivered
ORD00015,2026-01-16,CUST0125,Mia Smith,Biratnagar,Smartphone,Electronics,Samsung,2,646.74,5,1228.81,232.25,Card,Standard,Shipped
ORD00016,2026-02-13,CUST0215,Sophia Smith,Lalitpur,Smartphone,Electronics,Samsung,2,666.33,10,1199.39,233.91,Khalti,Standard,Shipped
ORD00017,2026-05-06,CUST0267,Mason Adhikari,Butwal,Keyboard,Accessories,Logitech,2,79.29,0,158.58,27.28,Bank Transfer,Standard,Delivered
ORD00018,2026-02-24,CUST0007,Aarav Thapa,Pokhara,Smartphone,Electronics,Samsung,4,673.52,15,2289.97,391.98,Cash,Standard,Processing
ORD00019,2026-01-26,CUST0122,Bishal Adhikari,Lalitpur,Mouse,Accessories,Logitech,2,23.78,5,45.18,5.67,Card,Express,Shipped
ORD00020,2026-05-14,CUST0151,Olivia KC,Pokhara,Laptop,Electronics,Dell,2,836.28,0,1672.56,393.4,eSewa,Express,Cancelled
ORD00021,2026-05-05,CUST0133,Mia Adhikari,Kathmandu,Printer,Office,HP,4,218.92,5,831.9,165.78,Khalti,Standard,Processing
ORD00022,2026-02-01,CUST0116,Hari KC,Pokhara,Monitor,Electronics,LG,3,214.37,10,578.8,92.76,Bank Transfer,Express,Delivered
